No,U_m2
2674,afe0410b1f519358b154b57af77a0c3c
1134,496ce1c277c0dd5cbde53e6060747eab
2626,ac9acc7684868759eb52290e94015fa4
3075,cc086c5d2ceee49f6e487ea9d4e44a01
3351,dee0f8e02feea08cea5e457ee346242b
1239,509a38bee28ee5a378a49703b383da22 
1619,6a91e0a3e1f90cf005707c1b71a2bf39
3026,c81a1f8c0750aae996dee25fb63cf4b5
1300,54afc44edd005db1fc5ab45ebf5ad803
1184,4d0fae3fa4398fe36c4480846e217205
2941,c30cafe34b12ba5822de4582bf0a4759
839,37b0a7f18cecb4ceb7d6395982a923e4
2154,8eb2c5bebdf244e9967a87075342b78f
2970,c4ea4457316fe9c5303ab1a91255ef4f
2368,9bce5b2a13302590a1994061ab5213c3
1311,5538a7bc5e8df0556d7c3c9a0dc65a4d
1983,83c258d4a154b0f935ff5bd5aa82c1d2
1751,73c0fabc6656dae8f4f72fd5d743aac4
2785,b8b971f613730d01394c7e008b875aa5
2949,c39268002f3b2922a411a2bec590269a
727,2fa3c83f0c173e78b2f966b9bd5cdf86
1329,56b82a5f8aff41b8f40cc555d5aa1db1
2055,880f1d0fef31ffc22d04cbe9eb03cd87
1768,749c51d2f72348bb03b90a01b11c5473
303,13584b8e450a974a30c1e494e10b148a
1488,60ffdb0e07e8a00cff3bc4dab921bc0e
2690,b0c40b0e5efc46ac7d776ec29fdd702d
3523,e8042e2bb4c1d08af2affde79d09d4ce
1191,4d8a55db6cd3f8041c62f6893bda2a84
1273,52bbee6bd959c5a3c16926b66e202ae7
1045,432e645a223842bf0dd6dca0dc3b29e2
3226,d610df34a0c21575646fe2dcd1a942b9
2636,ad69cfbe3bb74adb92ebe059f6313eab
2897,c03c187e4240a2347d9c582a9fa6c851
1526,63b7cab7463b9b0cce8730f3ba4e1576
3446,e3dac78e27e3df0ece91f723a4d86e80
1480,6079953e9dd6ecf9224dd08f4bcc1e69
1547,64f84fd368994bb8e5d4e5efaa0dc90c
1374,59df2aee9e6906d2505566987ce56b64
1117,47fd1855b0f11145d8a0b62e604c897d
2620,ac1fb16013959895a280acc6d134d52c
1372,594b4f914fa4fe2a1f0fb004fb66c3d6
2834,bbebfd852c157ba10dbf8845b41073ca
3449,e40c66ab319446c5ed90665ba9f66365
1016,41ac2b35ee5578837f003345a98458c1
8,0094c61e0490c45931da8c0fe1f9c58c
282,11feec618f2fbc6bb75b4fa92df793e6
2207,91a39c5785cf267dc76565a406580a42
2849,bd1689afa023472ad5f1f6f3fa7a8cdd
3427,e2fea8e11705488d59e62ff72442b531
365,170c86ca41108027c506af64d71c1ce2
2186,901260228d94d8d229cc8e9df061a824
1938,7fca39560c706184912ae313cfa3b0d8
3111,ce78e317adf954f7bb368d5cd792acb4
520,229a56f105d72672e926bdbf0f2842a8
1632,6bac1325224da727ac3c9457216bbbb7
1832,784a69672fe4de95e4b11a91d2c41750
665,2c60e08028cb993fd83b7765ab2c9d74
3275,d947da9240f39f392b131213262e8a0a
190,0bc91647013453fe58fdbd99a6918e4e
1738,72b3e0418f5469daca35372bf56143e1
2238,93daa7eb822597734179e6637a489c29
2934,c2901be4d7f3aceb76458997a88e15e0
589,271eb9ad9658b450b58cc7698a775248
1624,6b2edee97489bcdd3e99431b40c8e6a9
3270,d91d3b08fd904322b3a21b855a6b16b5
2850,bd20fa3559a7fded76818ebeec76c85b
991,3fc6d09ab5bec70569207ec062f8ce3f
3819,fd9bf2f1836eb29144df19fa91533883
989,3fbc5bd127890405694e37a98cb710c5
1836,789c162ef70c2b1eb1766d3afd6ca425
1133,48ff3d9c4bfb0cbfaf8c0e27b20a5e09
634,2a7a3e3fedfcafcd379fb122eb436787
164,0a5465e087b2ec4126545703f0bc4a9e
1907,7d79233203f52bcac784810c3a9e9850
3646,f0456c1d6877bee4036e3d4e68bc959f
637,2abb7fd542233420dfaa23537a041075
1418,5c74fad2746d0a040bc119806679e5cf
3674,f150a7b4b19cb8f7df8e524612de81ea
615,28faa8be3a94d1c1e64391697a3068ea
1061,44cf257ac0aaa5d17cc9f2613419aebe
997,404f8f710e19c20daa60ae5da4d47a2e
1282,5370f57dffc00344374b7f6044da96cf
1140,49ae3f9606bf5d5e73aed0c9d3b5f8cd
1106,4760a034ddee345d50b698c4f1754c9a
460,1ebc29916f568f7686ed8c49e6503b49
963,3e360df7de214b63674f6078c4c4efb8
1946,80785027c238f1e211d255a88e4ceb4b
1948,80b11a1727ddd78a85b6548183d64205
1308,552a941c0d3a92a14b04e6fdb7a69d9b
1392,5b0040e000b9ca0e76d74f3ef7cdfe21
285,12483a607abe2f73938da444ef5ffbcf
3839,fe978925b8c6980fd410f845c9b22966
1896,7d02aa6b7add8189987c351bd9b8c2c5
1797,767394b5a83c4becffe5968d292a7174
569,25b13165eae00a73908984a87f05df14
111,070db3126de06ad50412255a50f34e5e
588,271874184842d84ac49f00ca790c2340
3265,d8f198789a0bd17bad425f4c2b180dcd
1516,62e304ec2b8b06012bd4e080c2f69251
535,2364f21fc6270e843d5036923cf7ed4a
3669,f13827f3016928d3802bc78b10430907
1892,7c851b0e923e141ffef32c15ce988b38
687,2db37e86213283ab836846374b15f911
524,22e58dfc326c210fdd779285585ee62f
827,36a44448f4781a07b62ced99c2783b43
701,2e440c80a5ad2cdd2ca9b3931fc32a9b
2068,886d35e1ab0fe360a6561332eb1f6351
3694,f31b64007e7a767dc17451b4e386fb40
2492,a3c97c30887598ef57ebdf2c317b4268
3222,d552d8f5ec904b514941ebcdbe084540
1049,4388220f7818dbd64a965fe0740968b6
2128,8c7e413631a247794cc180b27f240c56
291,127de304c2bf47eafbcda353b2ac1506
1067,4502e3bb8820c0fd8a9b9bb17555ddf4
2222,92d1241742e4c678c7d601af9b4b587d
1858,79d18a045e06aabdda1e9af57d28bf43
2702,b16b7185891d08e9aa74cc9da556573e
1128,48905638c0af9226fbec289c216c0a6e
2778,b821c6dc650d8ad0bff10a0f2e78cf7d
2982,c58523f09628372b76306d3079c6363c
