,page_id,link_id,URL,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c31,c32 
1,1,1,/mba/international-full-time-mba/why-the-rotterdam-mba/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"1,1",/mba/international-full-time-mba/curriculum-teaching/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"1,1",/mba/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,"1,12",/mba/international-full-time-mba/why-the-rotterdam-mba/international/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1,"1,13",/mba/international-full-time-mba/why-the-rotterdam-mba/leadership/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,"1,14",/mba/international-full-time-mba/why-the-rotterdam-mba/sustainability/,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1,"1,15",/mba/international-full-time-mba/why-the-rotterdam-mba/entrepreneurship/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,1,"1,16",/mba/international-full-time-mba/why-the-rotterdam-mba/personal-leadership-development/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,1,"1,17",http://twitter.com/rsmmba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,"1,18",tel:0031104082884,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,1,"1,501",/mba/international-full-time-mba/why-the-rotterdam-mba/meet-our-alumni/,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,"1,19",https://www.linkedin.com/in/courtney-stankey-39236426?authType=NAME_SEARCH&authToken=4yv8&locale=en_US&srchid=145594581461330368446&srchindex=1&srchtotal=195&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A145594581461330368446%2CVSRPtargetId%3A90457886%2C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,"1,2",/mba/international-full-time-mba/your-career/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,"1,2",mailto:cstankey@rsm.nl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,"1,21",skype:courtney.rsm?call,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,"1,22",tel:0031104089628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,1,"1,23",mailto:cfok@rsm.nl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,1,"1,24",skype:cfok@rsm.nl?call,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,1,"1,25",/mba/international-full-time-mba/why-the-rotterdam-mba/?tx_rsmcontent_contacts[identifier]=141&tx_rsmcontent_contacts[action]=vCard&tx_rsmcontent_contacts[controller]=Contact&cHash=cd0ee60408ed7fc78f9e48fcbbdf627b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,"1,26",http://twitter.com/RSMMBA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,"1,27",https://www.facebook.com/rsmmba,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,"1,28",https://www.twitter.com/rsmmba,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,"1,29",https://www.linkedin.com/edu/school?id=19929,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,"1,3",/mba/international-full-time-mba/student-life/,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,"1,3",https://www.youtube.com/rsmmba,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"1,31",https://blog.rsm.nl/mba/,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1,"1,32",http://weibo.com/rotterdamrsm,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,"1,33",/mba/international-full-time-mba/mba-newsletter-sign-up,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1,"1,4",/mba/international-full-time-mba/apply/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,1,"1,5",/mba/international-full-time-mba/contact-us/,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,"1,6",/mba/information-events/,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1,"1,7",/mba/international-full-time-mba/apply/cv-assessment/,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,1,"1,8",/mba/international-full-time-mba/brochure-request/,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
33,1,"1,9",/,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,2,2,/mba/international-full-time-mba/curriculum-teaching/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
