click,StMp,value
1,IG_AM,0.15912031
2,IG_AM,0.292921348
3,IG_AM,0.405431922
4,IG_AM,0.50003978
5,IG_AM,0.579593605
6,IG_AM,0.646488801
7,IG_AM,0.702739613
8,IG_AM,0.750039778
9,IG_AM,0.789813526
10,IG_AM,0.823258463
11,IG_AM,0.851381631
12,IG_AM,0.875029832
13,IG_AM,0.894915124
14,IG_AM,0.911636262
15,IG_AM,0.925696728
16,IG_AM,0.937519887
17,IG_AM,0.947461742
18,IG_AM,0.955821646
19,IG_AM,0.96285132
20,IG_AM,0.968762429
1,C_AM,0.089688835
2,C_AM,0.171333582
3,C_AM,0.245655708
4,C_AM,0.313311968
5,C_AM,0.374900217
6,C_AM,0.430964688
7,C_AM,0.482000802
8,C_AM,0.528459547
9,C_AM,0.570751461
10,C_AM,0.609250262
11,C_AM,0.644296151
12,C_AM,0.676198814
13,C_AM,0.705240165
14,C_AM,0.731676831
15,C_AM,0.755742424
16,C_AM,0.777649601
17,C_AM,0.797591949
18,C_AM,0.815745691
19,C_AM,0.832271246
20,C_AM,0.847314642
1,IG_CM,0.159824216
2,IG_CM,0.294104653
3,IG_CM,0.406923824
4,IG_CM,0.501711759
5,IG_CM,0.581350287
6,IG_CM,0.648260649
7,IG_CM,0.704477115
8,IG_CM,0.751708829
9,IG_CM,0.791391771
10,IG_CM,0.824732417
11,IG_CM,0.852744421
12,IG_CM,0.876279429
13,IG_CM,0.896052972
14,IG_CM,0.912666225
15,IG_CM,0.926624277
16,IG_CM,0.938351494
17,IG_CM,0.948204418
18,IG_CM,0.956482607
19,IG_CM,0.96343774
20,IG_CM,0.969281274
1,C_CM,0.08594319
2,C_CM,0.164500148
3,C_CM,0.236305671
4,C_CM,0.301939998
5,C_CM,0.361933501
6,C_CM,0.416770972
7,C_CM,0.466895535
8,C_CM,0.512712233
9,C_CM,0.554591298
10,C_CM,0.592871143
11,C_CM,0.627861096
12,C_CM,0.6598439
13,C_CM,0.689078001
14,C_CM,0.715799629
15,C_CM,0.740224716
16,C_CM,0.762550632
17,C_CM,0.782957789
18,C_CM,0.801611089
19,C_CM,0.818661264
20,C_CM,0.834246094
