"","click","StMp","value"
"1",1,"IG_AM",0.199337382661513
"2",2,"IG_AM",0.358939373196684
"3",3,"IG_AM",0.486726720671006
"4",4,"IG_AM",0.589041272762539
"5",5,"IG_AM",0.670960709831961
"6",6,"IG_AM",0.73655054072686
"7",7,"IG_AM",0.789065866401959
"8",8,"IG_AM",0.831112924507366
"9",9,"IG_AM",0.864778432101425
"10",10,"IG_AM",0.891733145525713
"11",11,"IG_AM",0.913314776925612
"12",12,"IG_AM",0.93059438240869
"13",13,"IG_AM",0.944429516561348
"14",14,"IG_AM",0.955506791283244
"15",15,"IG_AM",0.964375951055054
"16",16,"IG_AM",0.971477155731545
"17",17,"IG_AM",0.977162824854081
"18",18,"IG_AM",0.981715127575051
"19",19,"IG_AM",0.98535998618654
"20",20,"IG_AM",0.988278288222244
"21",1,"C_AM",0.214003387916431
"22",2,"C_AM",0.382209325793152
"23",3,"C_AM",0.514418623096594
"24",4,"C_AM",0.618334682863048
"25",5,"C_AM",0.700012353780555
"26",6,"C_AM",0.764210726404592
"27",7,"C_AM",0.814670429788364
"28",8,"C_AM",0.85433158569475
"29",9,"C_AM",0.885505119868488
"30",10,"C_AM",0.910007412115717
"31",11,"C_AM",0.929266130810321
"32",12,"C_AM",0.94440341845735
"33",13,"C_AM",0.956301275264049
"34",14,"C_AM",0.96565295040517
"35",15,"C_AM",0.973003335383397
"36",16,"C_AM",0.978780713073794
"37",17,"C_AM",0.983321712365173
"38",18,"C_AM",0.986890922423671
"39",19,"C_AM",0.989696309437464
"40",20,"C_AM",0.99190133412589
"41",1,"IG_CM",0.202838063439065
"42",2,"IG_CM",0.36453284689842
"43",3,"IG_CM",0.49342977361268
"44",4,"IG_CM",0.596181497328973
"45",5,"IG_CM",0.678091260391627
"46",6,"IG_CM",0.7433866057379
"47",7,"IG_CM",0.795437569682549
"48",8,"IG_CM",0.83693061690053
"49",9,"IG_CM",0.870007294774629
"50",10,"IG_CM",0.896374763363749
"51",11,"IG_CM",0.917393905686461
"52",12,"IG_CM",0.934149565885284
"53",13,"IG_CM",0.947506540417735
"54",14,"IG_CM",0.958154212102618
"55",15,"IG_CM",0.966642130682805
"56",16,"IG_CM",0.973408376295558
"57",17,"IG_CM",0.978802169751467
"58",18,"IG_CM",0.98310189658819
"59",19,"IG_CM",0.986529475160035
"60",20,"IG_CM",0.989261810332081
"61",1,"C_CM",0.222614840989399
"62",2,"C_CM",0.395672314550063
"63",3,"C_CM",0.530204626151993
"64",4,"C_CM",0.634788048598722
"65",5,"C_CM",0.716089649087346
"66",6,"C_CM",0.779292306711011
"67",7,"C_CM",0.828425114757676
"68",8,"C_CM",0.866620230553671
"69",9,"C_CM",0.896312546720168
"70",10,"C_CM",0.919394912644654
"71",11,"C_CM",0.937338801349201
"72",12,"C_CM",0.951288114123053
"73",13,"C_CM",0.962132102851844
"74",14,"C_CM",0.970562058754083
"75",15,"C_CM",0.977115381363598
"76",16,"C_CM",0.982209837102444
"77",17,"C_CM",0.986170191387059
"78",18,"C_CM",0.989248912032343
"79",19,"C_CM",0.991642263770726
"80",20,"C_CM",0.993502819892437
