IND,M1mu11,M2mu11
1,2.89593099,3.103385318
2,2.87031986,3.088112039
3,2.87481899,3.062690948
4,2.78907724,3.162867829
5,2.89446443,3.088006731
6,2.91913757,3.085903281
7,2.89147801,3.086855624
8,2.85306522,3.078130939
9,2.91914405,3.084527154
10,2.87442696,3.109231963
11,2.88877776,3.104228962
12,2.89397355,3.089492238
13,2.86925449,3.076849426
14,2.88162723,3.088031142
15,2.88309892,3.161622959
16,2.80062367,3.084850791
17,2.87945836,3.083619569
18,2.89866479,3.119851952
19,2.83588633,3.07499026
20,2.90186671,3.063287256
21,2.85768052,3.117000489
22,2.85501399,3.072068891
23,2.90231722,3.052576151
24,2.89749124,3.067366179
25,2.8933288,3.101639332
26,2.86945036,3.083735099
27,2.91013693,3.094575362
28,2.89643867,3.067372212
29,2.87446691,3.079216259
30,2.9014398,3.085738495
31,2.86750574,3.073664852
32,2.87604792,3.064674359
33,2.79727433,3.0981547
34,2.88732248,3.148229043
35,2.87508127,2.951326126
36,2.91346308,3.072102691
37,2.7900695,3.043714549
38,2.88955687,3.083897317
39,2.90348275,3.074271403
40,2.89142426,3.107225939
41,2.90626666,3.116610865
42,2.88886934,3.066032488
43,2.90256088,3.078449342
44,2.88544816,3.105176407
45,2.87846009,3.695049797
46,2.90220301,2.999376742
47,2.87172802,3.050209223
48,2.91061417,3.052655899
49,2.88012333,3.068225079
50,2.90875628,3.067719202
51,2.885185,3.043875544
52,2.88860689,3.110490362
53,2.87721968,3.104419203
54,2.87522141,3.064008615
55,2.89157909,3.081874966
56,2.88037897,3.082288749
57,2.88230219,3.112605594
58,2.92202049,2.903000502
59,2.85688602,3.113688689
60,2.90142314,3.075922856
61,2.87524698,3.111585414
62,2.87819303,3.040873869
63,2.90148881,3.101790639
64,2.86954843,3.040397187
65,2.90678152,3.117987117
66,2.88326992,3.037764887
67,2.89117528,3.060043213
68,2.90790989,3.079881399
69,2.88303214,3.110456217
70,2.91035557,3.079598531
71,2.85782044,3.111372796
72,2.89269331,3.093174179
73,2.89825474,3.052044251
74,2.85421087,3.055762969
75,2.87750288,3.085589173
76,2.90809365,3.045759829
77,2.89288597,3.087751265
78,2.89792499,3.061811439
79,2.88489523,3.084477466
80,2.77334365,3.045968097
81,2.86593126,3.103462875
82,2.91454676,3.103735332
83,2.92501516,3.089137555
84,2.86790082,3.068238646
85,2.88263861,3.020742996
86,2.89428196,3.080023751
87,2.90700347,3.143439899
88,2.86914993,3.065718016
89,2.8973145,3.102735022
90,2.90157123,3.148655387
91,2.87776817,3.110910561
92,2.89877479,3.084586205
93,2.88934494,3.100908951
94,2.85931134,3.070912091
95,2.88762408,3.08147557
96,2.90503281,3.05766867
97,2.81933176,3.093872978
98,2.86199838,3.104650764
99,2.89324228,3.091400095
100,2.79759357,3.085221305
101,2.86840832,3.132324898
102,2.8553803,3.094085936
103,2.89040073,3.104756535
104,2.8970558,3.117873674
105,2.89507594,3.004367988
106,2.85875363,3.085520855
107,2.86872002,3.121593952
108,2.88277601,3.091919616
109,2.87775588,3.076770178
110,2.90406012,2.964110924
111,2.89592827,3.061756199
112,2.87546866,3.081009221
113,2.90523816,3.061051693
114,2.90882727,3.05370601
115,2.86482009,2.914346348
116,2.88866308,2.903032544
117,2.88666845,3.068540336
118,2.88066437,3.074127069
119,2.88682146,3.090482209
120,2.88654539,3.090123892
121,2.90293014,3.083745291
122,2.9009228,3.108131501
123,2.8935399,3.092592901
124,2.87939679,3.098987169
125,2.89880538,3.083504341
126,2.88905909,3.112686796
127,2.91015079,3.069611988
128,2.90154363,3.073622363
129,2.89927576,3.090537165
130,2.84493561,3.107380541
131,2.88819753,3.084935065
132,2.81504967,3.126084765
133,2.82232837,3.145064597
134,2.8741208,3.093119185
135,2.8637366,2.941340871
136,2.84866698,3.097036852
137,2.89815609,3.102367009
138,2.86595682,3.099696879
139,2.90534352,3.092252993
140,2.88384131,3.055365462
141,2.87617286,3.090371705
142,2.89063476,3.124970298
143,2.89990898,3.053521527
144,2.88599033,3.11417123
145,2.87066132,3.081100057
146,2.89056958,3.102366021
147,2.87647648,3.078495519
148,2.89355687,3.016235946
149,2.89969758,3.062755795
150,2.86409172,3.106488001
151,2.85987463,3.05822452
152,2.87171905,3.098053867
153,2.88274139,3.0967201
154,2.88601889,3.117908666
155,2.89995259,3.098891028
156,2.88489174,3.029083804
157,2.90243915,3.112770116
158,2.9038633,3.114512142
159,2.85198526,3.084413267
160,2.87016154,3.077848616
161,2.86123785,3.084783909
162,2.90333733,3.008447364
163,2.88092736,3.128069781
164,2.90491839,3.0730357
165,2.89505643,3.097657172
166,2.99197486,3.081238555
167,2.84481088,3.118111157
168,2.89565302,3.09527877
169,2.88670346,3.046359397
