"","Click","variable","value","Click","variable","value"
"1",1,"Early",0.967027189325936,1,"Early",0.976441907809774
"2",2,"Early",0.943342633385263,2,"Early",0.948630191163453
"3",3,"Early",0.925360653480205,3,"Early",0.912936956977405
"4",4,"Early",0.927070224509668,4,"Early",0.919846323149095
"5",5,"Early",0.930887711208609,5,"Early",0.92296582115967
"6",6,"Early",0.917856341159986,6,"Early",0.911828722608891
"7",7,"Early",0.921441746725467,7,"Early",0.914317310921522
"8",8,"Early",0.927318537284241,8,"Early",0.931434393010317
"9",9,"Early",0.919676653637086,9,"Early",0.927949841218575
"10",10,"Early",0.943512309895935,10,"Early",0.93533408666278
"11",11,"Early",0.941623336676543,11,"Early",0.952079492969604
"12",12,"Early",0.927812946782076,12,"Early",0.945083936589297
"13",13,"Early",0.9083796581525,13,"Early",0.947103084502792
"14",14,"Early",0.922885354168917,14,"Early",0.94632413069664
"15",15,"Early",0.901666374059543,15,"Early",0.936736327778091
"16",16,"Early",0.89310995013233,16,"Early",0.93280040613957
"17",17,"Early",0.926424265184403,17,"Early",0.913845370114634
"18",18,"Early",0.910920093352137,18,"Early",0.930909110836706
"19",19,"Early",0.905845820067445,19,"Early",0.935646105627287
"20",20,"Early",0.924553046066681,20,"Early",0.922251799550957
"21",21,"Early",0.914274497185962,21,"Early",0.930399074822574
"22",22,"Early",0.917814045055315,22,"Early",0.933739410562669
"23",23,"Early",0.907582472751535,23,"Early",0.892023791910402
"24",24,"Early",0.94145799831643,24,"Early",0.901717481040677
"25",25,"Early",0.941152835535721,25,"Early",0.927452940642671
"26",26,"Early",0.904632096266056,26,"Early",0.967752353730558
"27",27,"Early",0.924545826305111,27,"Early",0.865753247124543
"28",28,"Early",0.897772639034679,28,"Early",0.978985486152286
"29",29,"Early",0.832924909363371,29,"Early",0.946016033036762
"30",30,"Early",0.876194080926794,30,"Early",0.971193120465322
"31",31,"Early",0.884437960101018,31,"Early",0.904363347471098
"32",32,"Early",0.884750935686938,32,"Early",0.824522124353499
"33",33,"Early",0.900813448924916,33,"Early",0.882671575065379
"34",34,"Early",0.825855445774633,34,"Early",0.839329277787948
"35",35,"Early",0.977185350001829,35,"Early",0.87253537712346
"36",36,"Early",0.915290553250152,36,"Early",0.867196181342627
"37",37,"Early",0.854618188813653,37,"Early",0.966769895842861
"38",38,"Early",0.963005350655284,38,"Early",0.870414315756008
"39",39,"Early",0.967949548707288,39,"Early",0.962501377380655
"40",40,"Early",0.962462392554066,40,"Early",0.913054132095678
"41",41,"Early",0.966134583124234,41,"Early",0.910046849556448
"42",42,"Early",0.962977748050519,42,"Early",0.96942896224092
"43",43,"Early",0.95442221536877,43,"Early",0.880440578384877
"44",44,"Early",0.964256882888735,44,"Early",0.968777746004796
"45",45,"Early",0.972476655696132,45,"Early",0.907292889022017
"46",46,"Early",0.963867166177295,46,"Early",0.904573122134849
"47",47,"Early",0.948750802537966,47,"Early",0.900451995759318
"48",48,"Early",0.96327893433821,48,"Early",0.987087271473273
"49",49,"Early",0.964148347088366,49,"Early",0.796741351742641
"50",50,"Early",0.961818621889715,50,"Early",0.808559986087558
"51",51,"Early",0.943823980404047,51,"Early",0.887741344096197
"52",52,"Early",0.929953726642211,52,"Early",0.884397117439661
"53",53,"Early",0.839352491466092,53,"Early",0.878784986778963
"54",54,"Early",0.954739728699348,54,"Early",0.868647184003894
"55",55,"Early",0.957542327386299,55,"Early",0.970522940011056
"56",56,"Early",0.948675296935655,56,"Early",0.851001219523372
"57",57,"Early",0.809950960093693,57,"Early",0.961176593196104
"58",58,"Early",0.894102836942612,58,"Early",0.953414958462235
"59",59,"Early",0.833518361760276,59,"Early",0.956477764290681
"60",60,"Early",0.848787861528422,60,"Early",0.966240069811149
"61",61,"Early",0.981711925769661,61,"Early",0.991860707175647
"62",62,"Early",0.977477445457985,62,"Early",0.832684116500312
"63",63,"Early",0.839800701753074,63,"Early",0.821548574602514
"64",64,"Early",0.980870910378802,64,"Early",0.815635671024547
"65",65,"Early",0.980459087438876,65,"Early",0.906029454464347
"66",66,"Early",0.9758559439443,66,"Early",0.78371580208893
"67",67,"Early",0.976662698333408,67,"Early",0.955696097665431
"68",68,"Early",0.980845235242126,68,"Early",0.962690743198578
"69",69,"Early",0.997645753315561,69,"Early",0.783003831200205
"70",70,"Early",0.963509699866659,70,"Early",0.893779244853123
