"","x"
"1",0.00279753171940948
"2",0.321294396806615
"3",0.658576879399821
"4",0.000485931574645906
"5",0.00162731997622929
"6",0.0123609851091047
"7",0.320925969557389
"8",0.320925969557389
"9",0.321975987217684
"10",0.388545089992555
"11",0.700858671227641
"12",0.704537602081439
"13",0.0026034602709408
"14",0.0526097720470835
"15",0.773892722325764
"16",0.000309233447712533
"17",0.00165167722299726
"18",0.0216851148718088
"19",0.0455050913889353
"20",0.0534554751756739
"21",0.0588687495766413
"22",0.543323714511012
"23",0.756303664437846
"24",0.90623467899107
