"","click","StMp","value"
"1",1,"IG_AM",0.151783806878872
"2",2,"IG_AM",0.280529289727101
"3",3,"IG_AM",0.389733293070168
"4",4,"IG_AM",0.482361897059411
"5",5,"IG_AM",0.560930978909291
"6",6,"IG_AM",0.627574546413018
"7",7,"IG_AM",0.684102699537041
"8",8,"IG_AM",0.732050794384068
"9",9,"IG_AM",0.772721144862624
"10",10,"IG_AM",0.807218394718446
"11",11,"IG_AM",0.836479520664301
"12",12,"IG_AM",0.861299281520531
"13",13,"IG_AM",0.88235180458818
"14",14,"IG_AM",0.900208895560215
"15",15,"IG_AM",0.915355569284733
"16",16,"IG_AM",0.928203223209791
"17",17,"IG_AM",0.939100811312642
"18",18,"IG_AM",0.948344322007444
"19",19,"IG_AM",0.956184817460063
"20",20,"IG_AM",0.962835252665067
"21",1,"C_AM",0.151783806878872
"22",2,"C_AM",0.280529289727101
"23",3,"C_AM",0.389733293070168
"24",4,"C_AM",0.482361897059411
"25",5,"C_AM",0.560930978909291
"26",6,"C_AM",0.627574546413018
"27",7,"C_AM",0.684102699537041
"28",8,"C_AM",0.732050794384068
"29",9,"C_AM",0.772721144862624
"30",10,"C_AM",0.807218394718446
"31",11,"C_AM",0.836479520664301
"32",12,"C_AM",0.861299281520531
"33",13,"C_AM",0.88235180458818
"34",14,"C_AM",0.900208895560215
"35",15,"C_AM",0.915355569284733
"36",16,"C_AM",0.928203223209791
"37",17,"C_AM",0.939100811312642
"38",18,"C_AM",0.948344322007444
"39",19,"C_AM",0.956184817460063
"40",20,"C_AM",0.962835252665067
"41",1,"P_AM",0.101282051282051
"42",2,"P_AM",0.192306048652202
"43",3,"P_AM",0.274110948852813
"44",4,"P_AM",0.347630480956182
"45",5,"P_AM",0.413703804038825
"46",6,"P_AM",0.473085085424636
"47",7,"P_AM",0.526452108823936
"48",8,"P_AM",0.574414010622537
"49",9,"P_AM",0.617518232623588
"50",10,"P_AM",0.656256770601455
"51",11,"P_AM",0.691071789989257
"52",12,"P_AM",0.722360672798037
"53",13,"P_AM",0.75048055337362
"54",14,"P_AM",0.775752394762702
"55",15,"P_AM",0.798464652216224
"56",16,"P_AM",0.818876565645606
"57",17,"P_AM",0.837221118612269
"58",18,"P_AM",0.853707697624616
"59",19,"P_AM",0.868524482095969
"60",20,"P_AM",0.881840592242659
"61",1,"IG_CM",0.151170145477546
"62",2,"IG_CM",0.279487878071389
"63",3,"IG_CM",0.388407800361673
"64",4,"IG_CM",0.480862282153931
"65",5,"IG_CM",0.559340406483602
"66",6,"IG_CM",0.625954981341552
"67",7,"IG_CM",0.682499421227301
"68",8,"IG_CM",0.730496029909575
"69",9,"IG_CM",0.771236984274921
"70",10,"IG_CM",0.805819122641963
"71",11,"IG_CM",0.835173474121135
"72",12,"IG_CM",0.860090324016801
"73",13,"IG_CM",0.881240490088898
"74",14,"IG_CM",0.899193382479001
"75",15,"IG_CM",0.91443233351475
"76",16,"IG_CM",0.927367610105499
"77",17,"IG_CM",0.938347459052233
"78",18,"IG_CM",0.947667482636367
"79",19,"IG_CM",0.955578596899434
"80",20,"IG_CM",0.962293786868463
"81",1,"C_CM",0.151170145477546
"82",2,"C_CM",0.279487878071389
"83",3,"C_CM",0.388407800361673
"84",4,"C_CM",0.480862282153931
"85",5,"C_CM",0.559340406483602
"86",6,"C_CM",0.625954981341552
"87",7,"C_CM",0.682499421227301
"88",8,"C_CM",0.730496029909575
"89",9,"C_CM",0.771236984274921
"90",10,"C_CM",0.805819122641963
"91",11,"C_CM",0.835173474121135
"92",12,"C_CM",0.860090324016801
"93",13,"C_CM",0.881240490088898
"94",14,"C_CM",0.899193382479001
"95",15,"C_CM",0.91443233351475
"96",16,"C_CM",0.927367610105499
"97",17,"C_CM",0.938347459052233
"98",18,"C_CM",0.947667482636367
"99",19,"C_CM",0.955578596899434
"100",20,"C_CM",0.962293786868463
"101",1,"P_CM",0.123595505617977
"102",2,"P_CM",0.231915162226991
"103",3,"P_CM",0.326846996109049
"104",4,"P_CM",0.410045681983211
"105",5,"P_CM",0.482961384210005
"106",6,"P_CM",0.546865033352589
"107",7,"P_CM",0.602870478668561
"108",8,"P_CM",0.651953902653346
"109",9,"P_CM",0.694970836033269
"110",10,"P_CM",0.732671069781966
"111",11,"P_CM",0.765711724078577
"112",12,"P_CM",0.79466870200145
"113",13,"P_CM",0.820046727596776
"114",14,"P_CM",0.842288143287062
"115",15,"P_CM",0.861780619959448
"116",16,"P_CM",0.878863914121763
"117",17,"P_CM",0.893835789904467
"118",18,"P_CM",0.906957209129757
"119",19,"P_CM",0.918456879911473
"120",20,"P_CM",0.928535243068482
