click,StMp,value
1,IG_AM,0.152255841
2,IG_AM,0.281329842
3,IG_AM,0.390751571
4,IG_AM,0.483513204
5,IG_AM,0.562151335
6,IG_AM,0.628816352
7,IG_AM,0.685331231
8,IG_AM,0.733241389
9,IG_AM,0.773856946
10,IG_AM,0.808288547
11,IG_AM,0.837477736
12,IG_AM,0.8622227
13,IG_AM,0.883200098
14,IG_AM,0.900983566
15,IG_AM,0.916059396
16,IG_AM,0.928839844
17,IG_AM,0.939674393
18,IG_AM,0.948859319
19,IG_AM,0.956645786
20,IG_AM,0.963246719
1,C_AM,0.071535022
2,C_AM,0.137952785
3,C_AM,0.199619352
4,C_AM,0.2568746
5,C_AM,0.310034092
6,C_AM,0.359390818
7,C_AM,0.405216811
8,C_AM,0.447764639
9,C_AM,0.487268808
10,C_AM,0.523947045
11,C_AM,0.558001504
12,C_AM,0.589619876
13,C_AM,0.618976428
14,C_AM,0.646232958
15,C_AM,0.671539691
16,C_AM,0.695036106
17,C_AM,0.716851705
18,C_AM,0.737106725
19,C_AM,0.755912801
20,C_AM,0.773373584
1,P_AM,0.206521739
2,P_AM,0.37039225
3,P_AM,0.500419937
4,P_AM,0.603594081
5,P_AM,0.68546052
6,P_AM,0.750419761
7,P_AM,0.801963506
8,P_AM,0.842862347
9,P_AM,0.875314688
10,P_AM,0.901064916
11,P_AM,0.921497161
12,P_AM,0.937709704
13,P_AM,0.950574004
14,P_AM,0.960781547
15,P_AM,0.96888101
16,P_AM,0.975307758
17,P_AM,0.980407243
18,P_AM,0.984453573
19,P_AM,0.987664248
20,P_AM,0.990211849
1,IG_CM,0.151351922
2,IG_CM,0.27979644
3,IG_CM,0.388800633
4,IG_CM,0.481306832
5,IG_CM,0.55981204
6,IG_CM,0.626435334
7,IG_CM,0.682975064
8,IG_CM,0.730957398
9,IG_CM,0.771677513
10,IG_CM,0.80623456
11,IG_CM,0.835561332
12,IG_CM,0.86044944
13,IG_CM,0.881570686
14,IG_CM,0.89949519
15,IG_CM,0.914706786
16,IG_CM,0.927616078
17,IG_CM,0.938571524
18,IG_CM,0.947868842
19,IG_CM,0.955758993
20,IG_CM,0.962454954
1,C_CM,0.10840708
2,C_CM,0.205062064
3,C_CM,0.291238964
4,C_CM,0.368073679
5,C_CM,0.436578966
6,C_CM,0.497657795
7,C_CM,0.552115246
8,C_CM,0.600669124
9,C_CM,0.643959418
10,C_CM,0.682556738
11,C_CM,0.716969835
12,C_CM,0.747652309
13,C_CM,0.775008585
14,C_CM,0.799399247
15,C_CM,0.821145789
16,C_CM,0.840534852
17,C_CM,0.857822003
18,C_CM,0.873235104
19,C_CM,0.886977316
20,C_CM,0.899229775
1,P_CM,0.18
2,P_CM,0.3276
3,P_CM,0.448632
4,P_CM,0.54787824
5,P_CM,0.629260157
6,P_CM,0.695993329
7,P_CM,0.750714529
8,P_CM,0.795585914
9,P_CM,0.83238045
10,P_CM,0.862551969
11,P_CM,0.887292614
12,P_CM,0.907579944
13,P_CM,0.924215554
14,P_CM,0.937856754
15,P_CM,0.949042538
16,P_CM,0.958214881
17,P_CM,0.965736203
18,P_CM,0.971903686
19,P_CM,0.976961023
20,P_CM,0.981108039
