survey_time_spent,survey_user_id,bonus_unclear,bonus_unclear_open,bcq_bonus_received,web_satisf,att_check,att_check_6_TEXT,web_recommend,lk_buy_cellphone,employment_status,employment_status_7_TEXT,gender,Mobile
72,Mg2p580Rf8GN1cydimzSAQ1zH3tpYM8f,2,,2,7,6,Yes,7,6,1,,2,0
85,aeVT_L1x4vxVSdSTRkeqc~g71rdV-yi7,2,,2,5,6,yes,5,4,3,,1,0
136,nvCNgRvngIFOzygaKpt4GZgSkkN-QFcQ,1,"I wasn't sure if I would actually have to buy the item of it was a task to see which one I ""would"" buy",2,6,6,Yes,3,2,1,,1,0
82,gC4hNwu.23R40BwwpvRVz2LWRFRQBfmX,2,,2,3,6,Yes,3,3,3,,2,0
115,W1xtcJVvv2vwAZgklZkiHDvHWrLsK4lV,2,,2,6,6,Yes,5,5,1,,2,1
254,UOXO5FAhhXizdWAMEkGrj~czMOFD4aA4,2,,2,6,6,Yes,7,6,4,,2,1
66,.~59lI.cVfMozomUv5qJBUq.iRwroGfZ,2,,2,4,6,Yes,3,2,2,,2,1
137,2HqYkHw~0lFa7Ht0u43rDFyZ3iLJQZz2,2,,2,6,6,Yes,5,6,1,,2,0
113,uh9Ty9C_L2w6BS-Xx~fQMAZZO4s-HD4h,2,,2,6,6,yes,5,3,3,,2,0 
220,6O6NHmVjZdrurTE_TrFsHX4_E186v4KD,2,,2,3,6,Yes,6,5,1,,1,1
124,'-AA~0np-pKhXCQuyh19TD03X_2iaNyc_,2,,2,6,6,yes,6,5,7,Funded PhD researcher,1,0
206,ulairF.49YWrunwx.bikPwcrzKD995kZ,2,,2,6,6,yes,5,3,7,medically retired,2,0
91,vJCFOvNQJVKrkFCHcn1a~PQ35dzN8mv~,2,,2,6,6,Yes,5,5,1,,2,1
138,cYDvFlve~.0lwpxuaobcO--wgQ0ni797,2,,2,6,6,Yes,5,7,2,,2,0
90,VZbUnBEOal_aypaOoQnSjVX.9aF-GG6Q,2,,2,7,6,Yes,7,7,1,,2,1
77,UVihGnyrEik080ChjbFsfE3TfBycmRGG,2,,2,6,6,yes,6,2,3,,2,0
116,79Jeb~P~B67c~zLnz6x31YcI7ODl0jaU,2,,2,7,6,Yes,7,7,3,,2,0
84,5iLFD_GpTzn_Ab.NDeKd6ny-0coKCNJw,2,,2,6,6,yes,5,6,1,,2,0
113,dCP9VI6xnOjC3EROqeQtcc.Ll7AqWU~O,2,,2,3,6,Yes,2,4,4,,2,0
76,oQUGzkAzr4XxiePzFUXcT1RHuCx42z5G,2,,2,6,6,Yes,6,2,3,,2,1
81,6fF9Uq1CDp5KRGkvUxjwI8AsJQaeMJi-,1,Nothing,2,6,6,Yes,7,3,1,,2,0
84,kJBccWF4-R1SSgq5~6vXQEFpYfDC0E2T,2,,2,6,6,Yes,6,2,7,Carer,2,1
131,sMjkGfCR5OpKe1rC.w4wqJtQ8W1NwG5a,2,,2,5,6,Yes,5,6,1,,1,0
119,Oi7oReCKOe48rVHw-sILpm7I~riWRwmc,2,,2,7,6,Yes,6,1,1,,2,0
98,jsrszxqpp8R2InmMbrVM543Ug.8k8pb5,2,,2,6,6,Yes,5,3,3,,2,1
97,mQtaw3vK0hdiM03Uj3DofFisDF.TyVdK,2,,2,4,6,Yes,2,5,1,,2,0
99,osoxkvwAxwBBCHlsE_sc.cvoRFq8XxH6,2,,2,5,6,Yes,2,5,4,,2,0
119,VFq.NFlld0DTge9aHFf9Emar0MZlOIZB,2,,2,4,6,yes,3,6,2,,2,0
118,lFeBRgHsI6lxfsi_qC.JaBvjkW.LWoiF,2,,2,6,6,Yes,5,7,1,,2,0
65,~sCJEICBWTJ~a8SykUfezINAXOAHxK9d,2,,2,7,6,Yes,6,2,1,,1,1
118,a5XKOgR06IVUFOWaVodozoIFoDx_G9Kw,2,,2,6,6,Yes,6,5,1,,2,1
62,vdGQlnLLSpCJ1fEg4zx7HZ75hPzBaLPs,2,,2,6,6,yes,5,1,1,,2,0
107,GdQOkxEl9pDW0~d.D0HZrbP68ns~DBmn,2,,2,6,6,Yes,4,7,1,,2,0
118,eSxRaBA-WK2KL~dhLrJ-2R5e4F_KQsFB,2,,2,3,6,Yes,1,2,2,,1,0
115,9FPbR-YtiRHODnih6D5aNiTwrljNQ07g,2,,2,6,6,Yes,5,6,1,,2,1
78,.xfknOMdeMdNYNl8worM3THUnIi52aCh,2,,2,6,6,Yes,5,2,1,,2,1
86,'-.ivlqvsKhv8T.OqyvJ3lY7HVjoEv5P5,2,,2,5,6,Yes,4,4,7,Carer at home for Partner,1,0
62,US6O_s6vxI1cWqkBy0CVl72bzoK4nubv,2,,2,5,6,Yes,3,5,1,,2,0
88,d.5YVKS6dKSU6i282~GALfoimsb-1634,2,,2,6,6,Yes,5,6,3,,1,0
95,Vlx.KaRe7MlbC6TcRulk~duh8N4pzkTL,2,,2,5,6,Yes,4,4,1,,2,1
162,T9jzPpd1lBEje.bKzmR4xTw0Ssi~jmbL,2,,2,6,6,Yes,4,5,2,,2,1
113,6Z0otIpaBDXckzhtbbltWRQMIpHQSiS8,2,,2,2,6,Yes,2,1,1,,2,0
157,qf4I8Q_z2Jjn2Brgc0Tw7622Qtzb-Fag,2,,2,5,6,yes,2,5,2,,2,0
85,5vaYpU7yQaciDqjhTpQBT3GmtAym7fvj,1,Nothing,2,5,6,Yes,3,5,1,,1,0
100,Odfqks04_Z0UGc_03-mXqKcdwDDWWnhq,2,,2,6,6,Yes,6,7,2,,2,0
116,T0hviZVUGA_tByBYvFuuwgl1yIMZQHyh,2,,2,6,6,Yes ,5,5,7,Home maker ,2,1
101,_~sDL-.YVY-iKNYsuTt-VAdoEgciw4~A,2,,2,5,6,yes,3,5,4,,2,0
90,dvmW6l4YoYpvtuUFrvTJpfIBD~.GC2w7,2,,2,7,6,Yes,7,7,1,,2,1
114,E7dWcW6LO9qpSo2Vjh9NpI5i0AdJTHj0,2,,2,6,6,Yes,3,3,3,,2,0
127,5XZ2XnEMgLCXdneYlOyZqKuXQ2Ue1vi8,2,,2,6,6,Yes,6,6,7,Disabled,2,1
173,lX~Cas~twQJJ0PC2wi.Dj_24MW4rGsZX,2,,2,3,6,YES,2,4,7,HOMEMAKER,2,0
80,90FGuJbQpLFC3DrY9CyksOUGjidRsJnH,2,,3,4,6,yes,4,2,4,,1,0
119,6X1EIjI~f0B_g-1WKONy1Tuk5Q-nLvph,2,,2,4,6,Yes,3,7,2,,1,1
165,u-ZrwYgIFjm2TpYqvPcsTfajitxboztL,2,,2,7,6,Yes,7,2,2,,2,1
97,b4UIbSnGjbq59eKHKuBCgVZYEaVvUDsH,2,,2,5,6,Yes,5,3,1,,2,1
60,DJQyyHioO5PzP77NO4OjQfvdtoPMquT6,2,,2,3,6,Yes,2,5,1,,1,0
95,IgV0~dcGD2WKZSpAJoEc-RHTbqG~QbY5,2,,2,6,6,Yes,5,5,3,,1,0
210,rnvyCpoMXVD22BwZ-0ISPWZ_9KkDu_Et,2,,2,6,6,Yes,3,2,1,,1,0
