user_id,source_url,destination_url,phone_id,fullName,price,outcome_var,bounce,total_clicks,first_morph,last_morph,time_spent_website,condition,condition_reassigned,time_spent_survey,bonus_unclear,bonus_unclear_open,bcq_bonus_received,web_satisf,att_check,att_check_6_TEXT,web_recommend,lk_buy_cellphone,employment_status,employment_status_7_TEXT,gender,Mobile
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,https://xlarge.rsm.nl/phone-shop/#/comparison,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3kDghNxYERnfJ7D?storeid=000quYO4SE0ZMTRlMBCZ5xgnKnGOwf~7,{linkLocation:footer},NA,0,0,1,19,1,2,359.7480001,2,2,180,2,NA,2,6,6,Yes,4,2,1,NA,2,1
03MXCCvJS8HmklYrK0ZQ8Pd1Q6FyTDv,https://xlarge.rsm.nl/phone-shop/#/products,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3kDghNxYERnfJ7D?storeid=03MXCCvJS8H.mklYrK0ZQ8Pd1Q6FyTDv,{linkLocation:footer},NA,0,0,1,15,2,2,88.79499984,4,4,64,2,NA,2,7,6,yes,7,2,3,NA,2,0
07aFSYFKjM4ZfPmsUANY5kTwHWuWCj0,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{}},NA,0,0,0,15,1,2,314.8709998,2,2,162,2,NA,2,6,6,Yes,6,7,4,NA,2,0
07Oykl5klpddd26Ps2n4P03rUC3t3R,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:11,fullName:iPhone SE 64GB Mobile Phone - Black,399,1,0,5,1,1,53.36299992,1,1,92,2,NA,2,5,6,Yes,5,7,1,NA,2,0
09FHBPt2KwZSUtvHdXj66079NJy6OZ,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:3,fullName:Samsung Galaxy A12 64GB Mobile Phone - Black,169.95,1,0,25,2,1,200.4220002,3,3,110,2,NA,2,6,6,Yes,3,7,2,NA,1,0
09jx4zFSUhWvWEFJW0HwVczPgb6hskaP,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:12,fullName:Motorola G9 Power 128GB Mobile Phone - Blue,159.99,1,0,14,2,2,120.7390001,4,4,120,2,NA,2,5,6,Yes,4,2,1,NA,1,0
0brhGAmRsfGQThtCAaus7n9ilcwG,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:1,fullName:Samsung Galaxy A42 5G 128GB Mobile Phone - White,319,1,0,10,2,1,63.29900002,3,3,80,2,NA,2,6,6,Yes,7,6,1,NA,1,0
0C4dinOZQ6fNQGUZp5w4d6tfbDGVI9g,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:1,fullName:Samsung Galaxy A42 5G 128GB Mobile Phone - White,319,1,0,26,1,2,390.099,2,2,313,2,NA,2,7,6,Yes,7,3,1,NA,2,0
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:1,fullName:Samsung Galaxy A42 5G 128GB Mobile Phone - White,319,1,0,26,1,1,368.0420001,1,1,116,2,NA,2,6,6,yes,6,1,1,NA,1,0
0ePy4ViRU31P1fWyhCwwVgcXQKxNO2,https://xlarge.rsm.nl/phone-shop/#/products/4,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3kDghNxYERnfJ7D?storeid=0ePy4ViRU31P1fWyhCww~VgcXQK-xNO2,{linkLocation:footer},NA,0,0,1,29,1,2,604.161,2,2,238,2,NA,2,6,6,Yes,3,6,1,NA,2,0
0FwPKYGl7I7pKpmBN4HLlSyWYxoxlB,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:13,fullName:Huawei P40 Lite 5G 128GB Mobile Phone - Black,379.95,1,0,12,1,1,92.80300021,1,1,114,2,NA,2,7,6,Yes,7,7,1,NA,1,0
0GwYeEQAqLqN5INbNBX0s39smmIih92P,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:11,fullName:iPhone SE 64GB Mobile Phone - Black,399,1,0,7,2,2,43.29100013,4,4,135,2,NA,2,7,6,Yes,4,5,1,NA,2,0
0hLURU1gGUW9eNJPyVSx6Hg7h88fdoc,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:1,fullName:Samsung Galaxy A42 5G 128GB Mobile Phone - White,319,1,0,18,2,2,103.303,4,4,136,1,T & C could have been explained in a more simple way.,2,6,6,Yes,6,7,1,NA,1,0
0NFBQG3QjPecIQnPI4PoI3Km6olyD,https://xlarge.rsm.nl/phone-shop/#/products,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3kDghNxYERnfJ7D?storeid=-0NFBQG3QjP.ecIQnPI4PoI3Km6o-lyD,{linkLocation:footer},NA,0,0,1,6,1,1,118.556,1,2,119,2,NA,2,6,6,Yes,6,3,7,homemaker/housewife,2,0
0pLP7S5aFkklngVcAQgOe2RI44ziI6z,https://xlarge.rsm.nl/phone-shop/#/products,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3kDghNxYERnfJ7D?storeid=0pLP7S5a_FkklngVcAQgOe2RI44ziI6z,{linkLocation:footer},NA,0,0,1,7,1,1,63.15699983,1,1,76,2,NA,2,6,6,Yes,3,5,1,NA,2,0
0TIJbiRb9bUWGRAC8aTwAhUpwCqbR0,https://xlarge.rsm.nl/phone-shop/#/,https://xlarge.rsm.nl/phone-shop/#/,null,NA,0,0,1,8,2,1,142.701,3,3,66,2,NA,2,5,6,yes,5,2,1,NA,2,0
0vFV9KhhPAIZ0hXwc6pu6BxsV768bHmT,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{}},NA,0,0,0,35,1,1,632.0600002,1,1,125,2,NA,2,5,6,Yes,3,4,7,homemaker,2,0
0wMm9bCTVEAlsXnszDlSJxLO63JtdeB,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{}},NA,0,0,0,2,2,2,15.40100002,4,4,88,2,NA,2,5,6,Yes,4,1,1,NA,2,0
0WQMSADZZK69vnwvk35mlZmYPf0PuRV,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:7,fullName:Samsung Galaxy A32 5G 64GB Mobile Phone - White,249.99,1,0,21,1,1,203.4880002,1,1,79,2,NA,2,6,6,Yes,5,6,1,NA,2,0
0XQRjZGoU8Q5mmv8Df5GUhnYx4Dc2F,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{id:3,fullName:Samsung Galaxy A12 64GB Mobile Phone - Black,169.95,1,0,6,2,2,59.2019999,4,4,134,2,NA,2,6,6,Yes,6,3,5,NA,2,0
0y5ysywEhcJNghrDpivPSvyTclgEF7,https://xlarge.rsm.nl/phone-shop/#/check-out,https://xlarge.rsm.nl/phone-shop/#/finished-checking-out,{trolley:{}},NA,0,0,0,8,1,1,119.441,1,1,108,2,NA,2,7,6,Yes,6,5,1,NA,1,1
0yDOBIlhKBMuzWrbwSorObAZkAdmue,https://xlarge.rsm.nl/phone-shop/#/products,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3kDghNxYERnfJ7D?storeid=-0yDOBIlhK~BMuzWrbwSorObAZkAdmue,{linkLocation:footer},NA,0,0,1,6,2,2,47.93600011,4,3,108,2,NA,2,3,6,Yes,3,6,1,NA,1,0
