click,morph_before,add-to-comparison,p_state1,p_state2,
1,1,0,1,0,
2,1,0,0.761332715,0.238667285,
3,1,0,0.60786186,0.39213814,
4,1,0,0.501021386,0.498978614,
5,1,0,0.422469839,0.577530161,
6,1,0,0.362369344,0.637630656,
7,1,0,0.314969305,0.685030695,
8,1,0,0.276683434,0.723316566,
9,1,0,0.245159067,0.754840933,
10,1,0,0.218788697,0.781211303,
11,1,0,0.196436575,0.803563425,
12,1,0,0.177277458,0.822722542,
13,1,0,0.160697259,0.839302741,
14,1,0,0.146229558,0.853770442,
1,2,0,1,0,
2,2,0,0.6637387,0.3362613,
3,2,0,0.46593092,0.53406908,
4,2,0,0.33854795,0.66145205,
5,2,0,0.25167644,0.74832356,
6,2,0,0.19009254,0.80990746,
7,2,0,0.14522668,0.85477332,
8,2,0,0.11188617,0.88811383,
9,2,0,0.08674366,0.91325634,
10,2,0,0.06757254,0.93242746,
11,2,0,0.05283099,0.94716901,
12,2,0,0.04142196,0.95857804,
13,2,0,0.03254781,0.96745219,
14,2,0,0.02561844,0.97438156,
1,1,1,1,0,
2,1,1,0.83889105,0.16110895,
3,1,1,0.726517792,0.273482208,
4,1,1,0.643731365,0.356268635,
5,1,1,0.58025279,0.41974721,
6,1,1,0.530070213,0.469929787,
7,1,1,0.489432818,0.510567182,
8,1,1,0.455879204,0.544120796,
9,1,1,0.427727151,0.572272849,
10,1,1,0.403787895,0.596212105,
11,1,1,0.38319755,0.61680245,
12,1,1,0.365313217,0.634686783,
13,1,1,0.34964656,0.65035344,
14,1,1,0.335819987,0.664180013,
1,2,1,1,0,
2,2,1,0.772063549,0.227936451,
3,2,1,0.618937346,0.381062654,
4,2,1,0.509299861,0.490700139,
5,2,1,0.427169829,0.572830171,
6,2,1,0.363538887,0.636461113,
7,2,1,0.312942313,0.687057687,
8,2,1,0.271872349,0.728127651,
9,2,1,0.237973997,0.762026003,
10,2,1,0.209607287,0.790392713,
11,2,1,0.185594939,0.814405061,
12,2,1,0.16506985,0.83493015,
13,2,1,0.147379186,0.852620814,
14,2,1,0.132021998,0.867978002,
